description,amenities,averageRating,booking_count,likes,dislikes,price,comments
Good value turf with a reputation for cleanliness.,"['firstaid', 'cafe', 'parking']",4.5,283,341,1,79,Parking is limited and inconvenient.
Great venue with many facilities and staff assistance.,"['firstaid', 'cafe', 'parking']",4.3,152,452,4,76,Excellent services and well-organized.
Top-notch turf with eco-friendly amenities and practices.,"['parking', 'locker']",5.0,66,101,43,64,"Limited facilities, not worth the price."
Spacious area for large games and tournaments.,"['firstaid', 'cafe', 'parking']",5.0,63,324,26,39,"Limited facilities, not worth the price."
Compact turf with good pricing and well-maintained.,"['restroom', 'firstaid', 'cafe', 'wifi']",3.2,208,388,31,36,"Could use better maintenance, average experience."
"Turf with premium-quality grass, suitable for all types of sports.","['parking', 'locker', 'wifi']",4.1,201,332,20,90,Turf was too crowded and noisy.
Good value turf with a reputation for cleanliness.,"['parking', 'locker', 'wifi']",4.8,276,176,7,23,Turf was too crowded and noisy.
Affordable turf with a mix of different facilities.,"['restroom', 'firstaid', 'cafe', 'wifi']",4.4,157,215,37,33,"Could use better maintenance, average experience."
Turf with multiple seating arrangements.,"['parking', 'locker']",2.0,237,253,7,22,Outstanding quality and friendly staff.
Turf with advanced technology for booking and scheduling.,"['parking', 'locker']",2.8,94,202,49,99,"Could use better maintenance, average experience."
Versatile turf for local leagues and community events.,"['wifi', 'parking', 'restroom']",1.5,147,293,2,77,Great location with easy parking access.
Spacious turf with room for larger events and teams.,"['parking', 'locker']",4.8,180,265,43,74,Overpriced for the facilities provided.
"Safe, secure turf with friendly staff for events.","['parking', 'locker', 'wifi']",3.4,86,458,2,23,Amazing experience with great amenities!
Versatile turf with different surface types for various sports.,"['restroom', 'firstaid', 'cafe', 'wifi']",1.9,220,189,21,43,Lacks proper lighting for evening games.
Popular venue for corporate and team events with all amenities included.,"['parking', 'firstaid', 'cafe']",3.7,217,273,5,53,Perfect for weekend games with friends.
